,Dataset Name,"Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 450 with random sample rate of 0.15 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 2250 with random sample rate of 0.15 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 4500 with random sample rate of 0.15 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 6750 with random sample rate of 0.15 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 9000 with random sample rate of 0.15 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 11250 with random sample rate of 0.15 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 13500 with random sample rate of 0.15 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 15750 with random sample rate of 0.15 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 18000 with random sample rate of 0.15 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 20250 with random sample rate of 0.15 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 22500 with random sample rate of 0.15 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 450 with random sample rate of 0.15 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 2250 with random sample rate of 0.15 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 4500 with random sample rate of 0.15 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 6750 with random sample rate of 0.15 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 9000 with random sample rate of 0.15 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 11250 with random sample rate of 0.15 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 13500 with random sample rate of 0.15 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 15750 with random sample rate of 0.15 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 18000 with random sample rate of 0.15 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 20250 with random sample rate of 0.15 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 22500 with random sample rate of 0.15 Solution Time"
0,ER_700_800_0.05_15,99,97,100,98,95,96,99,95,98,100,99,30.01503896713257,30.016390085220337,30.01786184310913,30.026431798934937,30.011754989624023,30.032800912857056,30.034355878829956,30.012895107269287,30.061224937438965,30.02229881286621,30.014946937561035
1,ER_700_800_0.05_23,98,95,96,96,101,97,98,101,96,96,99,30.02502417564392,30.01353406906128,30.012294054031372,30.069013118743896,30.022541999816895,30.05560612678528,30.013955116271973,30.026325941085815,30.025034189224243,30.028013944625854,30.00957679748535
2,ER_700_800_0.05_2,98,99,97,99,97,97,95,97,94,95,98,30.029791116714478,30.02937889099121,30.025336027145386,30.023442029953003,30.031123876571655,30.192102909088135,30.01902198791504,30.41076397895813,30.00881004333496,30.033252954483032,30.050549030303955
3,ER_700_800_0.05_22,96,98,99,98,95,98,96,99,98,97,101,30.021595001220703,30.116695165634155,30.172329902648926,30.012248992919922,30.03256106376648,30.07024097442627,30.159286975860596,30.168886184692383,30.03080677986145,30.025245904922485,30.021619081497192
4,ER_700_800_0.05_3,96,94,97,97,99,100,96,96,93,96,100,30.089752912521362,30.094290018081665,30.1475510597229,30.220582962036133,30.126957893371582,30.17128300666809,30.09399104118347,30.49962306022644,30.165534019470215,30.01420783996582,30.121521949768066
5,ER_700_800_0.05_14,95,95,94,97,95,95,95,95,96,96,97,30.031550884246826,30.030932903289795,30.023262977600098,30.07248306274414,30.024039030075073,30.026648998260498,30.042909860610962,30.03006386756897,30.02326488494873,30.117643117904663,30.02325987815857
6,ER_700_800_0.05_1,95,90,94,94,96,93,94,95,92,94,96,30.014760971069336,30.069159030914307,30.014278888702393,30.019084930419922,30.059646129608154,30.192793130874634,30.222935914993286,30.03347110748291,30.018959045410156,30.018821954727173,30.03171992301941
7,ER_700_800_0.05_20,93,94,92,90,97,92,93,92,95,96,93,30.092158794403076,30.031299114227295,30.010003089904785,30.011648893356323,30.173059940338135,30.030245065689087,30.035141944885254,30.057496070861816,30.024981021881104,30.024046897888184,30.012607097625732
8,ER_700_800_0.05_30,100,99,96,96,100,101,100,98,99,103,99,30.022183895111084,30.02851700782776,30.11805510520935,30.029309034347534,30.031569957733154,30.016969919204712,30.071139097213745,30.09837794303894,30.01984214782715,30.09221887588501,30.20715308189392
9,ER_700_800_0.05_29,94,92,91,95,93,95,92,93,93,93,94,30.010138034820557,30.077541828155518,30.058747053146362,30.201244115829468,30.204496145248413,30.153557062149048,30.02134084701538,30.015510082244873,30.029716968536377,30.024209022521973,30.06281614303589
10,ER_700_800_0.05_8,94,95,98,95,96,94,94,96,94,96,97,30.022573947906494,30.01494002342224,30.024311065673828,30.037101984024048,30.17067313194275,30.15870714187622,30.04144787788391,30.0237820148468,30.013983011245728,30.01324200630188,30.028871774673462
11,ER_700_800_0.05_16,91,94,93,94,97,94,96,96,94,95,96,30.010579109191895,30.010174989700317,30.07777714729309,30.016683101654053,30.073506116867065,30.014739990234375,30.036098957061768,30.02199697494507,30.01622700691223,30.012611150741577,30.017992973327637
12,ER_700_800_0.05_28,94,96,94,94,92,92,96,95,90,94,93,30.027003049850464,30.02203607559204,30.02130699157715,30.029754877090454,30.030641078948975,30.026849031448364,30.032577991485596,30.019152879714966,30.043244123458862,30.041088104248047,30.159971952438354
13,ER_700_800_0.05_9,96,96,96,96,99,95,93,94,99,98,93,30.056363105773926,30.061729907989502,30.3173611164093,30.05298686027527,30.114879846572876,30.049654960632324,30.269617795944214,30.028862953186035,30.02015995979309,30.03127408027649,30.015690088272095
