,Dataset Name,"Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Time"
0,ER_700_800_0.15_47,41,40,40,40,40,40,39,40,39,39,30.03394603729248,30.447885990142822,30.095896005630493,30.816115140914917,30.03775405883789,30.03521990776062,30.04118800163269,30.03215789794922,30.042479991912842,30.043267011642456
1,ER_700_800_0.15_57,39,41,40,40,40,40,40,39,41,40,30.476048946380615,30.197209119796753,30.21102213859558,30.155092000961304,30.081809043884277,30.040721893310547,30.069796085357666,30.038969039916992,30.498695135116577,30.427120208740234
2,ER_700_800_0.15_25,41,40,43,42,40,42,39,40,41,40,30.101933002471924,30.046289920806885,30.452556848526,30.054599046707153,30.07453179359436,30.086126804351807,30.07008695602417,30.05846905708313,30.334150075912476,30.160210847854614
3,ER_700_800_0.15_102,39,40,38,40,39,41,40,40,41,39,30.8570818901062,30.29337501525879,30.426237106323242,30.573065996170044,30.545058965682983,30.45233678817749,30.142649173736572,30.04469084739685,30.183265924453735,30.46763586997986
4,ER_700_800_0.15_35,39,40,39,40,38,38,40,39,39,38,30.422679901123047,30.04574990272522,30.42764115333557,30.243464946746826,30.736685037612915,30.6785249710083,30.053931951522827,30.39761781692505,30.22049117088318,30.171914100646973
5,ER_700_800_0.15_112,40,41,41,41,40,41,41,41,39,40,30.44935393333435,30.558766841888428,30.752205848693848,30.770961046218872,30.304447889328003,30.208106994628906,30.421390056610107,30.42216396331787,30.38944983482361,30.049702167510986
6,ER_700_800_0.15_78,39,38,39,39,38,40,39,39,38,39,30.303354024887085,30.092300176620483,30.314195156097412,30.146807193756104,30.365478992462158,30.20372486114502,30.56321096420288,30.307525873184204,30.274554014205933,31.94542694091797
7,ER_700_800_0.15_68,39,38,41,39,40,39,41,38,38,40,30.140505075454712,30.52632713317871,30.326865196228027,30.671881914138794,30.108219146728516,30.117592096328735,30.37929606437683,30.64953088760376,30.725226879119873,30.108660221099854
8,ER_700_800_0.15_85,39,39,41,39,39,38,40,39,41,39,30.433773040771484,30.543864011764526,30.03258514404297,30.14727210998535,30.769731044769287,30.041438102722168,30.044378995895386,30.055495977401733,30.170959949493408,30.56147813796997
9,ER_700_800_0.15_95,41,40,39,40,40,40,40,39,39,39,30.05902600288391,30.041912078857422,30.047963857650757,30.04153299331665,30.04141902923584,30.04077696800232,30.03568410873413,30.032947063446045,30.03230118751526,30.03514790534973
10,ER_700_800_0.15_124,42,42,42,40,40,40,42,39,42,41,30.583196878433228,30.03882098197937,30.685376167297363,30.47468900680542,30.648271083831787,30.399938106536865,30.19529914855957,30.555200815200806,30.279923915863037,30.03140878677368
11,ER_700_800_0.15_13,40,38,38,40,39,38,38,38,39,37,30.033977031707764,30.039134979248047,30.06318998336792,30.44999408721924,30.042783975601196,30.54312300682068,30.059372901916504,30.030084133148193,30.036016941070557,30.048511028289795
12,ER_700_800_0.15_4,39,41,41,40,39,39,39,39,40,39,30.213146924972534,30.37151002883911,30.335838079452515,30.053980827331543,30.382848024368286,30.62630796432495,30.031684160232544,30.02671790122986,30.043776035308838,30.054162979125977
13,ER_700_800_0.15_61,40,38,40,41,41,39,41,40,39,39,30.353649139404297,30.53412103652954,30.55350685119629,30.41121792793274,30.314898014068604,30.444637060165405,30.229212999343872,30.057256937026978,30.053462028503418,30.050760984420776
14,ER_700_800_0.15_71,40,38,39,39,40,40,40,39,39,40,30.044931888580322,30.037912130355835,30.354947090148926,30.035393953323364,30.034027099609375,30.04010796546936,30.284677028656006,30.030839920043945,30.37068819999695,30.075111865997314
15,ER_700_800_0.15_94,41,39,40,41,39,40,40,40,41,41,30.050145149230957,30.03950309753418,30.35043716430664,30.080854177474976,30.1159029006958,30.8662109375,30.129837036132812,30.14401888847351,30.66746997833252,30.961344003677368
16,ER_700_800_0.15_84,42,40,42,42,39,40,41,42,40,42,30.718806982040405,31.175395965576172,30.32509183883667,30.040519952774048,30.047311067581177,30.41228699684143,30.403287887573242,30.298103094100952,30.522361993789673,30.03511905670166
17,ER_700_800_0.15_12,39,40,39,39,41,39,39,41,40,39,30.703991174697876,30.94107484817505,30.517472982406616,30.208138942718506,30.593063831329346,30.521488904953003,30.357152938842773,30.037038803100586,30.041281938552856,30.03298592567444
18,ER_700_800_0.15_125,41,40,40,41,40,40,41,41,41,41,30.046365976333618,30.419413089752197,30.11196804046631,30.7449209690094,30.34493923187256,30.31019115447998,30.033690929412842,30.419800996780396,30.395764112472534,30.04409885406494
19,ER_700_800_0.15_70,40,41,41,40,41,40,40,39,39,40,30.131377935409546,30.031614065170288,30.102787017822266,30.225021839141846,30.09593391418457,30.556554794311523,30.138407945632935,30.056752920150757,30.044538021087646,30.04864001274109
20,ER_700_800_0.15_60,40,39,39,40,40,39,39,39,39,40,31.3182270526886,30.03297996520996,30.064194917678833,30.051757097244263,30.03178095817566,30.047765016555786,30.112366914749146,30.044746160507202,30.150654792785645,30.05125403404236
21,ER_700_800_0.15_5,39,40,40,40,40,39,40,40,40,39,30.034636974334717,30.162259817123413,31.09282112121582,30.142333030700684,30.1253559589386,30.488523960113525,30.25331211090088,30.344939947128296,30.371026039123535,30.343090057373047
22,ER_700_800_0.15_56,42,43,42,40,43,42,42,44,41,42,30.16121506690979,30.04058313369751,30.49291205406189,30.04538083076477,30.03549289703369,30.050473928451538,30.054646015167236,30.163299083709717,30.488740921020508,30.642093181610107
23,ER_700_800_0.15_46,39,39,39,41,38,40,41,40,41,40,30.203047037124634,30.042957067489624,30.33377695083618,30.380874156951904,30.303059101104736,30.057982921600342,30.23878288269043,30.062177181243896,30.03438377380371,30.409136056900024
24,ER_700_800_0.15_113,41,40,40,40,40,40,39,38,40,39,30.33324098587036,30.45289707183838,30.070061922073364,30.435818910598755,30.62793517112732,30.567785024642944,30.521129846572876,30.455043077468872,30.405811071395874,30.315818071365356
25,ER_700_800_0.15_34,40,40,39,41,38,39,39,39,39,39,30.039062976837158,30.03131890296936,30.027605056762695,30.040477991104126,30.034873008728027,30.04165005683899,30.038986921310425,30.031856060028076,30.030900955200195,30.03030490875244
26,ER_700_800_0.15_103,40,40,40,40,40,39,40,42,39,38,30.18191409111023,30.419461011886597,30.239360809326172,30.164764881134033,30.495343923568726,30.40343999862671,30.243879079818726,30.315364837646484,30.534564971923828,30.665649890899658
27,ER_700_800_0.15_24,39,39,40,39,39,42,40,40,40,40,30.022812843322754,30.030699014663696,30.02729296684265,30.029680967330933,30.023809909820557,30.0309100151062,30.023294925689697,30.027114868164062,30.027716875076294,30.033097982406616
28,ER_700_800_0.15_69,41,41,40,39,41,40,40,40,40,42,30.033980131149292,30.03006410598755,30.034373998641968,30.03692603111267,30.03445792198181,30.029202938079834,30.0332088470459,30.029985904693604,30.029988050460815,30.029202938079834
