,Dataset Name,"Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.3 Solution Time"
0,ER_700_800_0.05_15,95,96,94,94,93,96,97,95,96,98,30.108344078063965,30.224567890167236,30.028791189193726,30.136117935180664,30.05146288871765,30.081470012664795,30.022512197494507,30.04063391685486,30.014407873153687,30.017148971557617
1,ER_700_800_0.05_23,93,94,93,97,94,97,97,97,96,93,30.035125017166138,30.03252911567688,30.048140048980713,30.031332969665527,30.106329917907715,30.01494598388672,30.0154550075531,30.02959680557251,30.038793087005615,30.035670042037964
2,ER_700_800_0.05_2,97,98,98,96,100,98,97,97,97,97,30.02696394920349,30.05117702484131,30.071187019348145,30.034253120422363,30.01549506187439,30.057340145111084,30.02824091911316,30.02805995941162,30.035229921340942,30.028521060943604
3,ER_700_800_0.05_22,97,97,98,97,98,98,96,96,97,96,30.036834001541138,30.027039051055908,30.030314922332764,30.01916217803955,30.045199155807495,30.054860830307007,30.033367156982422,30.026620149612427,30.055312871932983,30.03044891357422
4,ER_700_800_0.05_3,93,97,96,99,96,96,96,99,95,98,30.070824146270752,30.096954822540283,30.03792715072632,30.032438039779663,30.031059980392456,30.02679204940796,30.10301184654236,30.03146004676819,30.029839038848877,30.18901801109314
5,ER_700_800_0.05_14,94,92,96,96,95,94,92,94,95,95,30.23554015159607,30.191789865493774,30.217095851898193,30.044535875320435,30.244511127471924,30.058121919631958,30.028451204299927,30.01130199432373,30.2591769695282,30.38382387161255
6,ER_700_800_0.05_1,96,95,92,97,97,93,95,90,97,96,30.23082685470581,30.166121006011963,30.1664981842041,30.364631175994873,30.102777004241943,30.104445934295654,30.035117149353027,30.036282062530518,30.03522300720215,30.123090982437134
7,ER_700_800_0.05_20,95,91,90,92,90,91,93,93,89,90,30.349504947662354,30.173898220062256,30.072302103042603,30.278292179107666,30.037078857421875,30.268194913864136,30.35983109474182,30.124123096466064,30.104836225509644,30.086682081222534
8,ER_700_800_0.05_30,100,100,95,98,96,95,98,98,98,98,30.151708126068115,30.05405282974243,30.21098804473877,30.11640191078186,30.258586883544922,30.08550500869751,30.155869007110596,30.200276136398315,30.03121304512024,30.12039589881897
9,ER_700_800_0.05_29,96,94,94,94,94,95,92,93,96,95,30.018232822418213,30.018941164016724,30.050072193145752,30.020514965057373,30.039934873580933,30.029345989227295,30.0313880443573,30.076056003570557,30.023535013198853,30.029465913772583
10,ER_700_800_0.05_8,96,93,97,96,96,96,94,95,95,93,30.031683921813965,30.026292085647583,30.03419303894043,30.022844076156616,30.039363861083984,30.02553415298462,30.058995962142944,30.059495210647583,30.053936004638672,30.033684968948364
11,ER_700_800_0.05_16,93,93,94,92,94,95,94,92,92,91,30.022186994552612,30.01582980155945,30.045713901519775,30.117591857910156,30.02079701423645,30.031092166900635,30.07401394844055,30.10524582862854,30.017055988311768,30.03267216682434
12,ER_700_800_0.05_28,95,95,99,95,96,95,96,95,95,94,30.134260177612305,30.13092017173767,30.10120987892151,30.044811010360718,30.034805059432983,30.040127992630005,30.02053689956665,30.027841091156006,30.040526151657104,30.049939155578613
13,ER_700_800_0.05_9,92,93,96,91,92,91,91,91,90,93,30.066482067108154,30.04959797859192,30.03868007659912,30.0305438041687,30.03909993171692,30.032583951950073,30.033586978912354,30.035712957382202,30.033164978027344,30.06234097480774
14,ER_700_800_0.05_17,95,94,93,94,90,90,92,94,92,95,30.04236102104187,30.162583827972412,30.251099109649658,30.0919349193573,30.037835121154785,30.162415027618408,30.061673879623413,30.155729055404663,30.12418222427368,30.11902689933777
15,ER_700_800_0.05_0,99,97,96,96,97,97,99,95,99,99,30.102782011032104,30.166599988937378,30.316514015197754,30.032413959503174,30.064042806625366,30.125557899475098,30.206296920776367,30.032191038131714,30.271811962127686,30.099436044692993
16,ER_700_800_0.05_31,94,97,95,96,93,96,96,98,94,94,30.308193922042847,30.160393953323364,30.041958808898926,30.113121032714844,30.146926164627075,30.06163215637207,30.113686084747314,30.15126609802246,30.11465096473694,30.053513050079346
17,ER_700_800_0.05_21,97,94,97,95,98,98,93,95,98,97,30.0937819480896,30.04467797279358,30.227418899536133,30.300790786743164,30.137747049331665,30.180739879608154,30.075308799743652,30.24252700805664,30.040844917297363,30.054986000061035
18,ER_700_800_0.05_5,93,96,96,94,96,95,93,96,97,94,30.041013956069946,30.03896689414978,30.017677068710327,30.073670864105225,30.060352087020874,30.0290470123291,30.05316185951233,30.02744197845459,30.067447185516357,30.0623619556427
19,ER_700_800_0.05_24,93,93,94,93,94,94,94,94,94,95,30.119964122772217,30.34159517288208,30.068989992141724,30.036245107650757,30.067522048950195,30.17591691017151,30.099050998687744,30.150866985321045,30.043566942214966,30.059309005737305
20,ER_700_800_0.05_12,94,95,95,91,94,95,94,91,91,96,30.12084197998047,30.179861068725586,30.206538915634155,30.081847190856934,30.172851085662842,30.142297983169556,30.05323886871338,30.04433298110962,30.02910804748535,30.128004789352417
21,ER_700_800_0.05_13,95,93,95,93,95,94,95,94,92,94,30.033369064331055,30.117706060409546,30.037206888198853,30.019198179244995,30.05875015258789,30.030378103256226,30.11238408088684,30.0569589138031,30.028026819229126,30.02125310897827
22,ER_700_800_0.05_4,96,97,100,98,96,97,94,92,98,100,30.045552015304565,30.02905297279358,30.03930687904358,30.035595893859863,30.02863097190857,30.032180070877075,30.056013107299805,30.029123067855835,30.20767903327942,30.02234196662903
23,ER_700_800_0.05_25,96,97,97,96,96,95,98,96,96,96,30.049129009246826,30.040756940841675,30.033841133117676,30.052852869033813,30.032285928726196,30.029992818832397,30.02832794189453,30.030751943588257,30.019054174423218,30.02719283103943
24,ER_700_800_0.05_11,96,93,93,95,94,96,96,93,94,94,30.021277904510498,30.014164924621582,30.026084184646606,30.036285161972046,30.024688005447388,30.054283142089844,30.01642894744873,30.024176120758057,30.03339695930481,30.015236854553223
25,ER_700_800_0.05_18,94,95,95,99,95,93,95,96,97,95,30.01820397377014,30.030991077423096,30.026061058044434,30.030155897140503,30.014986991882324,30.026365995407104,30.020304918289185,30.041197061538696,30.016434907913208,30.015898942947388
26,ER_700_800_0.05_27,96,91,94,97,93,93,94,96,97,98,30.02640390396118,30.03813886642456,30.02056884765625,30.012455940246582,30.02415108680725,30.024744033813477,30.041605949401855,30.037429809570312,30.04520297050476,30.02016019821167
27,ER_700_800_0.05_6,96,94,97,102,102,99,99,99,99,101,30.050387144088745,30.040791034698486,30.03306293487549,30.0084810256958,30.054166078567505,30.01936388015747,30.022661924362183,30.021032094955444,30.01912498474121,30.045717000961304
28,ER_700_800_0.05_19,92,92,92,93,91,94,93,93,94,94,30.017449855804443,30.03266406059265,30.026076078414917,30.02278184890747,30.034276962280273,30.017502069473267,30.055557012557983,30.025357961654663,30.01605987548828,30.014338970184326
29,ER_700_800_0.05_26,98,97,94,95,96,100,97,94,95,94,30.017059087753296,30.015239000320435,30.022910118103027,30.018505811691284,30.013235092163086,30.036550998687744,30.015810012817383,30.02437114715576,30.014070987701416,30.047030925750732
