,Dataset Name,"Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Time"
0,ER_700_800_0.15_47,40,40,40,41,40,40,40,39,41,40,30.036399841308594,30.02882409095764,30.032531023025513,30.041257858276367,30.03390097618103,30.025246143341064,30.041179895401,30.033640146255493,30.122129917144775,30.116470098495483
1,ER_700_800_0.15_57,40,40,40,40,40,40,40,39,41,41,30.033336877822876,30.037354946136475,30.02547287940979,30.02474594116211,30.07211995124817,30.033257007598877,30.065028190612793,30.037481784820557,30.0451180934906,30.022890090942383
2,ER_700_800_0.15_25,42,42,40,41,41,40,41,41,42,41,30.065221071243286,30.026865005493164,30.099705934524536,30.207181930541992,30.217324018478394,30.078173875808716,30.13613486289978,30.21271014213562,30.135339975357056,30.187159061431885
3,ER_700_800_0.15_102,39,40,41,40,40,40,42,39,41,40,30.11419701576233,30.107336044311523,30.040628910064697,30.131522178649902,30.099406003952026,30.053508043289185,30.061042070388794,30.04881501197815,30.27012586593628,30.05015993118286
4,ER_700_800_0.15_35,39,39,40,39,41,40,40,40,40,40,30.06792116165161,30.335519790649414,30.047188997268677,30.064433097839355,30.042256116867065,30.05221700668335,30.041661024093628,30.134106159210205,30.110267162322998,30.17652201652527
5,ER_700_800_0.15_112,41,41,41,42,41,43,41,41,42,40,30.0589439868927,30.10806703567505,30.09769892692566,30.07342791557312,30.01980209350586,30.30589509010315,30.052628993988037,30.101441144943237,30.094684839248657,30.071897983551025
6,ER_700_800_0.15_78,40,40,41,39,40,39,39,40,40,41,30.07696795463562,30.04384708404541,30.326783895492554,30.07100796699524,30.077539920806885,30.038549184799194,30.333620071411133,30.041182041168213,30.044080018997192,30.036906957626343
7,ER_700_800_0.15_68,40,40,41,40,39,40,41,40,39,41,30.028379201889038,30.024692058563232,30.06583023071289,30.139241933822632,30.08023500442505,30.163653135299683,30.081205129623413,30.40270209312439,30.096049785614014,30.11797595024109
8,ER_700_800_0.15_85,40,42,41,40,40,40,41,41,40,41,30.146511793136597,30.336249828338623,30.106386184692383,30.063194036483765,30.118072986602783,30.18439793586731,30.025952100753784,30.07272696495056,30.094934940338135,30.076747179031372
9,ER_700_800_0.15_95,41,41,39,39,40,40,40,41,41,41,30.02681589126587,30.285669088363647,30.07392191886902,30.023744106292725,30.108585119247437,30.188655138015747,30.437660932540894,30.064709901809692,30.087687969207764,30.3282310962677
10,ER_700_800_0.15_124,42,41,40,42,42,41,41,41,40,41,30.024725198745728,30.06084108352661,30.031867027282715,30.035603046417236,30.050087213516235,30.108909130096436,30.090498208999634,30.455535888671875,30.276166915893555,30.144412994384766
11,ER_700_800_0.15_13,40,39,40,39,40,41,40,38,40,40,30.082803964614868,30.29477286338806,30.804490089416504,30.28165602684021,30.305442094802856,30.059913873672485,30.061167001724243,30.38335394859314,30.099848985671997,30.385046005249023
12,ER_700_800_0.15_4,40,40,41,41,40,41,41,41,41,41,30.039783000946045,30.04232096672058,30.046271085739136,30.089749097824097,30.281676054000854,30.044504165649414,30.064777851104736,30.03987193107605,30.083822011947632,30.127130031585693
13,ER_700_800_0.15_61,41,40,41,39,42,40,41,41,41,40,30.309677839279175,30.324821949005127,30.021658182144165,30.35602307319641,30.03572702407837,30.029805898666382,30.03429412841797,30.033178091049194,30.053673028945923,30.012822151184082
14,ER_700_800_0.15_71,40,41,40,41,40,42,41,40,40,39,30.02013087272644,30.022447109222412,30.02020502090454,30.02054500579834,30.028102159500122,30.014761924743652,30.04841685295105,30.030061960220337,30.032217979431152,30.03024983406067
15,ER_700_800_0.15_94,41,41,42,42,40,42,42,41,39,41,30.025177001953125,30.02696394920349,30.035764932632446,30.03547692298889,30.05430579185486,30.09273910522461,30.04483413696289,30.1364848613739,30.06306791305542,30.038860082626343
16,ER_700_800_0.15_84,43,41,40,42,42,40,41,41,40,41,30.068476915359497,30.036683082580566,30.090909004211426,30.046289920806885,30.127585887908936,30.03409194946289,30.153738975524902,30.105957984924316,30.1598641872406,30.064935207366943
