,Dataset Name,"Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.15 Solution Time"
0,ER_700_800_0.05_15,98,93,95,97,94,95,97,97,92,97,30.063704013824463,30.124732971191406,30.202057123184204,30.202239990234375,30.209434986114502,30.12243390083313,30.03862714767456,30.108954906463623,30.10701298713684,30.02526307106018
1,ER_700_800_0.05_23,94,94,97,95,98,96,94,94,93,94,30.077506065368652,30.10371208190918,30.03337001800537,30.08418893814087,30.085062980651855,30.215089082717896,30.407588005065918,30.309751987457275,30.045063018798828,30.29992699623108
2,ER_700_800_0.05_2,97,97,97,97,96,96,93,94,96,97,30.06237292289734,30.108961820602417,30.07409691810608,30.025738954544067,30.102613925933838,30.112499952316284,30.553436040878296,30.136679887771606,30.14819312095642,30.083728075027466
3,ER_700_800_0.05_22,98,95,95,96,97,97,99,93,96,95,30.29692792892456,30.185070037841797,30.08895993232727,30.12092399597168,30.157989025115967,30.056629180908203,30.16799306869507,30.133805990219116,30.11506199836731,30.022902011871338
4,ER_700_800_0.05_3,94,93,97,97,98,96,96,93,98,97,30.052849054336548,30.0451021194458,30.313785076141357,30.035479068756104,30.28925895690918,30.070611000061035,30.014625072479248,30.158118963241577,30.138718128204346,30.04109287261963
5,ER_700_800_0.05_14,91,94,94,96,94,94,98,92,93,93,30.08877205848694,30.02407217025757,30.03725504875183,30.051592111587524,30.091649055480957,30.07884907722473,30.03504180908203,30.006819009780884,30.07292413711548,30.210080862045288
6,ER_700_800_0.05_1,96,93,97,93,95,97,93,93,92,90,30.030638933181763,30.03189778327942,30.246057987213135,30.02561593055725,30.02666711807251,30.038190126419067,30.0286808013916,30.030481100082397,30.04806399345398,30.10829210281372
7,ER_700_800_0.05_20,90,93,93,88,93,94,91,93,90,89,30.063605070114136,30.03307795524597,30.081507921218872,30.2842378616333,30.115046977996826,30.073503017425537,30.38937497138977,30.101288080215454,30.081138134002686,30.13777995109558
8,ER_700_800_0.05_30,101,99,96,100,101,99,99,98,103,100,30.517325162887573,30.35641598701477,30.042479038238525,30.037528038024902,30.369993925094604,30.046117067337036,30.04076313972473,30.033185958862305,30.026490926742554,30.027267932891846
9,ER_700_800_0.05_29,94,95,93,96,91,96,93,95,92,92,30.072091102600098,30.073873043060303,30.12697982788086,30.21310806274414,30.031914949417114,30.024744987487793,30.078601121902466,30.05018711090088,30.24292302131653,30.080583095550537
10,ER_700_800_0.05_8,96,98,94,96,95,94,96,96,92,94,30.1106219291687,30.178098917007446,30.19451594352722,30.20222496986389,30.032902002334595,30.2790949344635,30.04229998588562,30.086888074874878,30.038790941238403,30.02931499481201
11,ER_700_800_0.05_16,92,92,95,95,92,93,94,90,91,91,30.039818048477173,30.056774854660034,30.105201959609985,30.100121021270752,30.08434295654297,30.146907806396484,30.065512895584106,30.14373517036438,30.284135818481445,30.05198311805725
