,Dataset Name,"Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Time"
0,ER_700_800_0.15_47,39,30.03710103034973
1,ER_700_800_0.15_57,39,30.03422784805298
2,ER_700_800_0.15_25,39,30.044607877731323
3,ER_700_800_0.15_102,41,30.00526189804077
4,ER_700_800_0.15_35,39,30.020588874816895
5,ER_700_800_0.15_112,40,30.068503856658936
6,ER_700_800_0.15_78,37,30.026835918426514
7,ER_700_800_0.15_68,38,30.005860090255737
8,ER_700_800_0.15_85,38,30.00763201713562
9,ER_700_800_0.15_95,37,30.021764993667603
10,ER_700_800_0.15_124,42,30.011198043823242
11,ER_700_800_0.15_13,37,30.00339698791504
12,ER_700_800_0.15_4,40,30.003808975219727
13,ER_700_800_0.15_61,37,30.006716012954712
14,ER_700_800_0.15_71,40,30.007023096084595
15,ER_700_800_0.15_94,41,30.00329899787903
16,ER_700_800_0.15_84,41,30.003929138183594
17,ER_700_800_0.15_12,39,30.00329303741455
18,ER_700_800_0.15_125,39,30.5851309299469
19,ER_700_800_0.15_70,40,30.007673978805542
20,ER_700_800_0.15_60,38,30.025087118148804
21,ER_700_800_0.15_5,40,30.021964073181152
22,ER_700_800_0.15_56,42,30.285943031311035
23,ER_700_800_0.15_46,39,30.008533000946045
24,ER_700_800_0.15_113,38,30.029381036758423
25,ER_700_800_0.15_34,39,30.00532817840576
26,ER_700_800_0.15_103,40,30.016763925552368
27,ER_700_800_0.15_24,40,30.022645950317383
28,ER_700_800_0.15_69,40,30.003656148910522
29,ER_700_800_0.15_79,40,30.01932120323181
30,ER_700_800_0.15_118,37,30.004240036010742
31,ER_700_800_0.15_108,39,30.005470991134644
32,ER_700_800_0.15_86,38,30.003051042556763
33,ER_700_800_0.15_96,38,30.00377321243286
34,ER_700_800_0.15_62,40,30.003304958343506
35,ER_700_800_0.15_72,37,30.025315046310425
36,ER_700_800_0.15_7,37,30.276530981063843
37,ER_700_800_0.15_127,37,30.003662109375
38,ER_700_800_0.15_10,39,30.003420114517212
39,ER_700_800_0.15_101,40,30.002901077270508
40,ER_700_800_0.15_26,40,30.017160892486572
41,ER_700_800_0.15_111,41,30.209954977035522
42,ER_700_800_0.15_36,38,30.19570803642273
43,ER_700_800_0.15_44,39,30.007169008255005
44,ER_700_800_0.15_54,39,30.00778889656067
45,ER_700_800_0.15_19,40,30.007694959640503
46,ER_700_800_0.15_37,39,30.006218194961548
47,ER_700_800_0.15_110,38,30.00431799888611
48,ER_700_800_0.15_27,40,30.029474020004272
49,ER_700_800_0.15_100,40,30.038820028305054
50,ER_700_800_0.15_55,39,30.622593879699707
51,ER_700_800_0.15_45,38,30.00633692741394
52,ER_700_800_0.15_18,42,30.01923704147339
53,ER_700_800_0.15_97,37,30.645653009414673
54,ER_700_800_0.15_87,38,30.009186029434204
55,ER_700_800_0.15_109,39,30.023056983947754
56,ER_700_800_0.15_119,42,30.007365942001343
57,ER_700_800_0.15_6,39,30.23917293548584
58,ER_700_800_0.15_73,41,30.003611087799072
59,ER_700_800_0.15_63,39,30.016950130462646
60,ER_700_800_0.15_11,38,30.058079957962036
61,ER_700_800_0.15_126,40,30.02102303504944
62,ER_700_800_0.15_3,39,30.028888940811157
63,ER_700_800_0.15_66,40,30.00388789176941
64,ER_700_800_0.15_76,40,30.00417184829712
65,ER_700_800_0.15_123,39,30.019293069839478
66,ER_700_800_0.15_14,38,30.023744106292725
67,ER_700_800_0.15_59,39,30.006118059158325
68,ER_700_800_0.15_49,41,30.00647497177124
69,ER_700_800_0.15_82,42,30.456305027008057
70,ER_700_800_0.15_92,40,30.323385000228882
71,ER_700_800_0.15_22,39,30.029075145721436
72,ER_700_800_0.15_105,39,30.01987600326538
73,ER_700_800_0.15_32,39,30.477006196975708
74,ER_700_800_0.15_115,43,30.003700017929077
75,ER_700_800_0.15_40,39,30.02410101890564
76,ER_700_800_0.15_50,38,30.010918140411377
77,ER_700_800_0.15_114,41,30.007009983062744
78,ER_700_800_0.15_33,38,30.00454616546631
79,ER_700_800_0.15_104,41,30.007900953292847
80,ER_700_800_0.15_23,40,30.53493309020996
81,ER_700_800_0.15_51,41,30.00630807876587
82,ER_700_800_0.15_41,42,30.003095149993896
83,ER_700_800_0.15_77,41,30.01817011833191
84,ER_700_800_0.15_67,40,30.386457920074463
85,ER_700_800_0.15_2,41,30.018539905548096
86,ER_700_800_0.15_15,41,30.008352994918823
87,ER_700_800_0.15_122,39,30.004299879074097
88,ER_700_800_0.15_48,39,30.003632068634033
89,ER_700_800_0.15_58,38,30.028048038482666
90,ER_700_800_0.15_93,40,30.003857135772705
91,ER_700_800_0.15_83,39,30.021533966064453
92,ER_700_800_0.15_9,37,30.00348711013794
93,ER_700_800_0.15_43,40,30.003473043441772
94,ER_700_800_0.15_53,39,30.006690979003906
95,ER_700_800_0.15_106,40,30.071846961975098
96,ER_700_800_0.15_21,38,30.021970987319946
97,ER_700_800_0.15_116,41,30.00452995300293
98,ER_700_800_0.15_31,41,30.009761095046997
99,ER_700_800_0.15_98,42,30.010504007339478
100,ER_700_800_0.15_88,40,30.00365710258484
101,ER_700_800_0.15_120,40,30.007888078689575
102,ER_700_800_0.15_17,39,30.006927013397217
103,ER_700_800_0.15_65,40,30.004436016082764
104,ER_700_800_0.15_75,39,30.00660514831543
105,ER_700_800_0.15_0,40,30.00434398651123
106,ER_700_800_0.15_38,41,30.003936767578125
107,ER_700_800_0.15_28,41,30.005635023117065
108,ER_700_800_0.15_81,40,30.012526035308838
109,ER_700_800_0.15_91,39,30.025141954421997
110,ER_700_800_0.15_16,41,30.004490852355957
111,ER_700_800_0.15_121,42,30.010282039642334
112,ER_700_800_0.15_1,41,30.003825902938843
113,ER_700_800_0.15_74,40,30.005528926849365
114,ER_700_800_0.15_64,41,30.00228190422058
115,ER_700_800_0.15_90,39,30.004443168640137
116,ER_700_800_0.15_80,40,30.016079902648926
117,ER_700_800_0.15_29,42,30.003902196884155
118,ER_700_800_0.15_39,40,30.00682306289673
119,ER_700_800_0.15_8,39,30.005099058151245
120,ER_700_800_0.15_52,40,30.024688959121704
121,ER_700_800_0.15_42,42,30.442389011383057
122,ER_700_800_0.15_89,41,30.00739312171936
123,ER_700_800_0.15_99,42,30.003082990646362
124,ER_700_800_0.15_30,39,30.004049062728882
125,ER_700_800_0.15_117,39,30.026034116744995
126,ER_700_800_0.15_20,42,30.00848913192749
127,ER_700_800_0.15_107,40,30.005125045776367
