,Dataset Name,"Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.7 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.7 Solution Time"
0,ER_700_800_0.15_47,39,30.228585958480835
1,ER_700_800_0.15_57,40,30.739320039749146
2,ER_700_800_0.15_25,40,30.011051893234253
3,ER_700_800_0.15_102,39,30.005411863327026
4,ER_700_800_0.15_35,39,30.003910064697266
5,ER_700_800_0.15_112,40,30.271744966506958
6,ER_700_800_0.15_78,37,30.0137038230896
7,ER_700_800_0.15_68,38,30.369168996810913
8,ER_700_800_0.15_85,38,30.009746074676514
9,ER_700_800_0.15_95,37,30.006003856658936
10,ER_700_800_0.15_124,42,30.38877296447754
11,ER_700_800_0.15_13,37,30.007179975509644
12,ER_700_800_0.15_4,39,30.013211011886597
13,ER_700_800_0.15_61,37,30.375765085220337
14,ER_700_800_0.15_71,38,30.48684597015381
15,ER_700_800_0.15_94,39,30.006309986114502
16,ER_700_800_0.15_84,39,30.007622003555298
17,ER_700_800_0.15_12,38,30.009357929229736
18,ER_700_800_0.15_125,38,30.376638889312744
19,ER_700_800_0.15_70,40,30.010293006896973
20,ER_700_800_0.15_60,39,30.177550077438354
21,ER_700_800_0.15_5,39,30.00375008583069
22,ER_700_800_0.15_56,41,30.333369970321655
23,ER_700_800_0.15_46,40,30.195080995559692
24,ER_700_800_0.15_113,38,30.198214054107666
25,ER_700_800_0.15_34,38,30.011008977890015
26,ER_700_800_0.15_103,38,30.225218057632446
27,ER_700_800_0.15_24,39,30.012228965759277
28,ER_700_800_0.15_69,39,30.005880117416382
29,ER_700_800_0.15_79,40,30.59785509109497
30,ER_700_800_0.15_118,37,30.007812023162842
31,ER_700_800_0.15_108,39,30.007492065429688
32,ER_700_800_0.15_86,38,30.003849983215332
33,ER_700_800_0.15_96,37,30.005154848098755
34,ER_700_800_0.15_62,39,30.518523931503296
35,ER_700_800_0.15_72,39,30.004655122756958
36,ER_700_800_0.15_7,37,30.310232877731323
37,ER_700_800_0.15_127,39,30.197258949279785
38,ER_700_800_0.15_10,38,30.004822969436646
39,ER_700_800_0.15_101,38,30.366452932357788
40,ER_700_800_0.15_26,40,30.007447004318237
41,ER_700_800_0.15_111,40,30.008612871170044
42,ER_700_800_0.15_36,42,30.38269591331482
43,ER_700_800_0.15_44,38,30.260955095291138
44,ER_700_800_0.15_54,39,30.040315866470337
45,ER_700_800_0.15_19,39,30.00544309616089
46,ER_700_800_0.15_37,37,30.007869005203247
47,ER_700_800_0.15_110,39,30.00565505027771
48,ER_700_800_0.15_27,38,30.008387088775635
49,ER_700_800_0.15_100,38,30.004499912261963
50,ER_700_800_0.15_55,38,30.019579887390137
51,ER_700_800_0.15_45,38,30.00257682800293
52,ER_700_800_0.15_18,42,30.467164039611816
53,ER_700_800_0.15_97,38,30.192625999450684
54,ER_700_800_0.15_87,37,30.012026071548462
55,ER_700_800_0.15_109,38,30.457093954086304
56,ER_700_800_0.15_119,38,30.582584857940674
57,ER_700_800_0.15_6,39,30.16381597518921
58,ER_700_800_0.15_73,38,30.003807067871094
59,ER_700_800_0.15_63,38,30.007930040359497
60,ER_700_800_0.15_11,39,30.003206968307495
61,ER_700_800_0.15_126,37,30.00750494003296
62,ER_700_800_0.15_3,39,30.44291400909424
63,ER_700_800_0.15_66,38,30.251442193984985
64,ER_700_800_0.15_76,38,30.00416398048401
65,ER_700_800_0.15_123,38,30.00654697418213
66,ER_700_800_0.15_14,39,30.004472970962524
67,ER_700_800_0.15_59,39,30.007910013198853
68,ER_700_800_0.15_49,40,30.201630115509033
69,ER_700_800_0.15_82,40,30.337000131607056
70,ER_700_800_0.15_92,39,30.18393111228943
71,ER_700_800_0.15_22,39,30.43122887611389
72,ER_700_800_0.15_105,37,30.0027859210968
73,ER_700_800_0.15_32,37,30.311805963516235
74,ER_700_800_0.15_115,41,30.496484994888306
75,ER_700_800_0.15_40,40,30.00395917892456
76,ER_700_800_0.15_50,38,30.13853907585144
77,ER_700_800_0.15_114,41,30.00933599472046
78,ER_700_800_0.15_33,38,30.019704818725586
79,ER_700_800_0.15_104,40,30.18036699295044
80,ER_700_800_0.15_23,39,30.374988079071045
81,ER_700_800_0.15_51,39,30.009443044662476
82,ER_700_800_0.15_41,42,30.007559061050415
83,ER_700_800_0.15_77,40,30.208644151687622
84,ER_700_800_0.15_67,38,30.557700157165527
85,ER_700_800_0.15_2,43,30.00300097465515
86,ER_700_800_0.15_15,38,30.49907922744751
87,ER_700_800_0.15_122,40,30.00760507583618
88,ER_700_800_0.15_48,40,30.003482818603516
89,ER_700_800_0.15_58,37,30.36889410018921
90,ER_700_800_0.15_93,39,30.00452208518982
91,ER_700_800_0.15_83,39,30.343775987625122
92,ER_700_800_0.15_9,38,30.00363516807556
93,ER_700_800_0.15_43,39,30.044239044189453
94,ER_700_800_0.15_53,39,30.46685218811035
95,ER_700_800_0.15_106,39,30.024922132492065
96,ER_700_800_0.15_21,41,30.003472089767456
97,ER_700_800_0.15_116,41,30.006648778915405
98,ER_700_800_0.15_31,38,30.30698800086975
99,ER_700_800_0.15_98,39,30.338753938674927
100,ER_700_800_0.15_88,38,30.005024909973145
101,ER_700_800_0.15_120,40,30.01740002632141
102,ER_700_800_0.15_17,39,30.00405192375183
103,ER_700_800_0.15_65,39,30.38376784324646
104,ER_700_800_0.15_75,37,30.04187297821045
105,ER_700_800_0.15_0,41,30.23899507522583
106,ER_700_800_0.15_38,39,30.004451036453247
107,ER_700_800_0.15_28,39,30.242456912994385
108,ER_700_800_0.15_81,39,30.004384994506836
109,ER_700_800_0.15_91,40,30.002492904663086
110,ER_700_800_0.15_16,38,30.008657932281494
111,ER_700_800_0.15_121,39,30.003445863723755
112,ER_700_800_0.15_1,41,30.00459098815918
113,ER_700_800_0.15_74,38,30.002842903137207
114,ER_700_800_0.15_64,41,30.00256609916687
115,ER_700_800_0.15_90,39,30.00231099128723
116,ER_700_800_0.15_80,39,30.007712841033936
117,ER_700_800_0.15_29,39,30.003376007080078
118,ER_700_800_0.15_39,39,30.00907301902771
119,ER_700_800_0.15_8,39,30.003317832946777
120,ER_700_800_0.15_52,38,30.002858877182007
121,ER_700_800_0.15_42,40,30.002706050872803
122,ER_700_800_0.15_89,38,30.004601001739502
123,ER_700_800_0.15_99,39,30.007923126220703
124,ER_700_800_0.15_30,38,30.0021710395813
