,Dataset Name,"Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Time"
0,ER_700_800_0.15_47,40,40,40,41,41,41,40,43,40,41,30.054682970046997,30.041423797607422,30.216887950897217,30.167572021484375,30.047772884368896,30.037616968154907,30.0312819480896,30.036530017852783,30.038781881332397,30.035367965698242
1,ER_700_800_0.15_57,40,40,40,40,40,39,40,40,41,39,30.05986213684082,30.289371013641357,30.05536198616028,30.037516832351685,30.05896782875061,30.08587408065796,30.18962812423706,30.047960996627808,30.470367908477783,30.097048044204712
2,ER_700_800_0.15_25,42,40,41,41,42,42,41,41,41,41,30.062397956848145,30.345380067825317,30.22229290008545,30.040032148361206,30.04072403907776,30.144734859466553,30.192086219787598,30.12406611442566,30.036675930023193,30.17701005935669
3,ER_700_800_0.15_102,40,41,40,40,40,39,39,39,40,40,30.217752933502197,30.159902811050415,30.176530122756958,30.033886909484863,30.037912845611572,30.038789987564087,30.040159940719604,30.174118995666504,30.08175802230835,30.261241912841797
4,ER_700_800_0.15_35,40,38,39,39,40,40,40,39,41,40,30.304956912994385,30.720077991485596,30.55203104019165,30.26638412475586,30.192697048187256,30.56068706512451,30.072497844696045,30.183511972427368,31.153981924057007,30.66504693031311
5,ER_700_800_0.15_112,41,41,40,41,41,42,39,42,40,40,30.176151990890503,30.414359092712402,30.04968285560608,30.37952995300293,30.390140056610107,30.029737949371338,30.13713788986206,30.147624015808105,30.191643953323364,30.29479193687439
6,ER_700_800_0.15_78,39,40,39,39,39,40,40,39,38,38,30.399458169937134,30.12253713607788,30.044522047042847,30.39507794380188,30.11098313331604,30.401489973068237,30.174510955810547,30.29286813735962,30.46591305732727,30.309891939163208
7,ER_700_800_0.15_68,39,39,40,39,40,40,40,43,41,40,30.286974906921387,30.225327968597412,30.359477996826172,30.31437611579895,30.17648482322693,30.37355089187622,30.366372108459473,30.097148895263672,30.121031045913696,30.1605122089386
8,ER_700_800_0.15_85,39,40,39,41,39,39,41,40,40,41,30.093530893325806,30.64267587661743,30.53126287460327,30.058561086654663,30.390236139297485,30.194250106811523,30.045989990234375,30.513049125671387,30.085022926330566,30.276785850524902
9,ER_700_800_0.15_95,42,41,39,41,41,39,40,39,38,39,30.271331071853638,30.083175897598267,30.393887996673584,30.133294820785522,30.548078060150146,30.068665027618408,30.68388795852661,30.167969942092896,30.14075994491577,30.229339122772217
10,ER_700_800_0.15_124,41,40,40,40,40,40,42,40,39,40,30.379279136657715,30.350445985794067,30.3615779876709,30.15803289413452,30.081748962402344,30.194840908050537,30.328364849090576,30.06512999534607,30.040149927139282,30.07875084877014
11,ER_700_800_0.15_13,41,39,40,40,39,40,38,40,40,39,30.081220865249634,30.447206020355225,30.198449850082397,31.381032943725586,30.477147102355957,30.26812481880188,30.905398845672607,30.200572967529297,30.228466033935547,30.082756996154785
12,ER_700_800_0.15_4,40,40,41,40,42,41,41,41,40,41,30.641465187072754,30.28929090499878,30.663252115249634,30.435643911361694,30.11280584335327,30.74536395072937,30.401306867599487,31.740566968917847,30.578475952148438,30.220943927764893
13,ER_700_800_0.15_61,42,40,40,41,40,40,41,41,39,39,30.040536880493164,30.037363052368164,30.03194308280945,30.039003133773804,30.0489501953125,30.038387060165405,30.036900997161865,30.148002862930298,30.03637981414795,30.03309988975525
14,ER_700_800_0.15_71,39,41,41,41,40,40,39,40,39,40,30.313789129257202,30.124999046325684,30.02213406562805,30.121927976608276,30.239181995391846,30.04024600982666,30.035995960235596,30.068009853363037,30.089046001434326,30.205878019332886
15,ER_700_800_0.15_94,40,40,40,38,40,41,40,42,40,40,30.057408809661865,30.207848072052002,30.04468297958374,30.03543210029602,30.066877126693726,30.12800407409668,30.12902307510376,30.230787992477417,30.302724838256836,30.09786295890808
16,ER_700_800_0.15_84,41,41,40,40,41,40,40,42,40,40,30.181941032409668,30.367053031921387,30.475166082382202,30.117154121398926,30.343552827835083,30.161985874176025,30.161947011947632,30.249202966690063,30.101020097732544,30.28299307823181
17,ER_700_800_0.15_12,40,41,38,39,40,38,38,38,39,39,30.538522958755493,30.604545831680298,30.71101403236389,30.075430154800415,30.375492095947266,30.315737009048462,30.181149005889893,30.08548402786255,30.035811185836792,30.31150984764099
18,ER_700_800_0.15_125,42,42,41,41,42,42,40,41,41,42,30.039793014526367,30.050848960876465,30.183901071548462,30.44256901741028,30.352225065231323,30.041604042053223,30.222668170928955,30.2569899559021,30.098033905029297,30.420939922332764
19,ER_700_800_0.15_70,40,40,41,41,40,39,40,41,41,41,30.792023181915283,30.250776052474976,31.02438497543335,30.385594844818115,30.048669815063477,30.099313974380493,30.714351892471313,30.10502600669861,30.3348069190979,31.36198592185974
20,ER_700_800_0.15_60,40,40,40,40,39,39,39,38,41,39,30.046581029891968,30.052555084228516,30.2067289352417,30.06895899772644,30.132433891296387,30.04820418357849,30.052284002304077,30.076982975006104,30.19353413581848,30.08749008178711
21,ER_700_800_0.15_5,38,40,41,40,40,39,42,40,39,39,30.183772087097168,30.126800060272217,30.1429500579834,30.190198183059692,30.22717809677124,30.268216848373413,30.07291889190674,30.324821949005127,30.08669400215149,31.01232385635376
22,ER_700_800_0.15_56,43,42,42,42,40,42,42,41,43,41,30.089493989944458,30.172183990478516,30.14455509185791,30.214444160461426,30.124589920043945,30.111522912979126,30.06792688369751,30.09705901145935,30.056835889816284,30.294235944747925
23,ER_700_800_0.15_46,42,39,41,41,40,40,41,42,41,41,30.079281091690063,30.203160047531128,30.03732204437256,30.06983709335327,30.096247911453247,30.04226803779602,30.309097051620483,30.112641096115112,30.39726710319519,30.1266131401062
24,ER_700_800_0.15_113,39,41,39,41,40,41,41,40,41,39,30.035571098327637,30.31862211227417,30.10740900039673,30.11361289024353,30.26667094230652,30.127712965011597,30.119720935821533,30.52670907974243,30.065881967544556,30.08207678794861
25,ER_700_800_0.15_34,41,42,40,39,40,38,40,40,41,40,30.28734302520752,30.47460699081421,30.122802019119263,30.18836212158203,30.37427592277527,30.27076005935669,30.08012580871582,30.218459844589233,30.038028955459595,30.07220983505249
26,ER_700_800_0.15_103,41,39,41,39,40,41,40,39,40,41,30.039504051208496,30.294620037078857,30.41621208190918,30.19875407218933,30.131574153900146,30.177039861679077,30.185702800750732,30.140373945236206,30.076148986816406,30.07871413230896
27,ER_700_800_0.15_24,40,40,41,41,40,39,39,40,39,38,30.26958203315735,30.101839065551758,30.15615200996399,30.103173971176147,30.28784489631653,30.082512140274048,30.12326192855835,30.153851985931396,30.047157049179077,30.235708951950073
28,ER_700_800_0.15_69,40,38,41,40,40,40,40,40,41,40,30.096074104309082,30.103761911392212,30.114802837371826,30.15967106819153,30.046993017196655,30.30121684074402,30.0500431060791,30.043104887008667,30.09886884689331,30.04742193222046
29,ER_700_800_0.15_79,42,41,42,43,42,40,40,42,41,40,30.063894987106323,30.033949851989746,30.045403003692627,30.205016136169434,30.043092012405396,30.051475048065186,30.0661358833313,30.10844397544861,30.160107851028442,30.104488134384155
30,ER_700_800_0.15_118,41,42,39,40,40,39,39,39,41,39,30.153264045715332,30.09179401397705,30.1826651096344,30.04066491127014,30.119627952575684,30.056040048599243,30.193776845932007,30.07778310775757,30.14871120452881,30.08413815498352
31,ER_700_800_0.15_108,40,41,42,40,41,42,42,42,42,40,30.03569197654724,30.173892974853516,30.054455041885376,30.22811007499695,30.220468997955322,30.06343102455139,30.1524600982666,30.07621192932129,30.180999994277954,30.1957368850708
32,ER_700_800_0.15_86,39,39,39,38,39,38,38,39,38,39,30.08726716041565,30.13995099067688,30.06972312927246,30.17793607711792,30.04724407196045,30.080305099487305,30.061310052871704,30.134998083114624,30.0310480594635,30.073060989379883
33,ER_700_800_0.15_96,38,41,41,39,41,39,39,40,38,40,30.095930814743042,30.081666946411133,30.02920889854431,30.19926619529724,30.07124400138855,30.032968044281006,30.072041034698486,30.041558980941772,30.03746199607849,30.062521934509277
34,ER_700_800_0.15_62,40,41,40,41,41,42,42,41,41,40,30.0435209274292,30.07331919670105,30.064059019088745,30.08444595336914,30.039808988571167,30.19504690170288,30.065150022506714,30.084048986434937,30.25220012664795,30.129896879196167
35,ER_700_800_0.15_72,40,41,40,40,39,39,39,39,40,40,30.157368898391724,30.147557973861694,30.261420011520386,30.08561396598816,30.091037034988403,30.166101932525635,30.11770796775818,30.39204692840576,30.152525901794434,30.408331155776978
36,ER_700_800_0.15_7,40,40,40,40,41,39,39,40,40,40,30.3226318359375,30.11673402786255,30.408569812774658,30.358108043670654,30.56038498878479,30.457367181777954,30.36770486831665,30.83627676963806,30.399347066879272,30.46856999397278
37,ER_700_800_0.15_127,40,41,40,40,40,41,39,40,39,41,30.29182505607605,30.48116683959961,30.438374996185303,30.295004844665527,30.38685393333435,30.394568920135498,30.35452914237976,30.35847783088684,30.317811965942383,30.465474128723145
38,ER_700_800_0.15_10,40,39,38,39,39,39,40,39,39,39,30.393895864486694,30.454972982406616,30.469008922576904,30.156363010406494,30.372796058654785,30.196467876434326,30.255048036575317,30.163494110107422,30.179230213165283,30.26088809967041
39,ER_700_800_0.15_101,41,40,41,42,41,40,40,40,42,41,30.37872886657715,30.38093400001526,30.200212955474854,30.602717876434326,30.653689861297607,30.25079607963562,30.450438976287842,30.587637186050415,30.335299015045166,30.50934600830078
40,ER_700_800_0.15_26,39,40,39,39,39,40,39,40,39,40,30.27979302406311,30.515846967697144,30.85724115371704,30.321138858795166,30.146045923233032,30.379646062850952,30.33270001411438,30.406389951705933,30.182695865631104,30.36904501914978
41,ER_700_800_0.15_111,40,41,41,41,40,41,42,41,40,41,30.190411806106567,30.288280963897705,30.84892201423645,30.70048499107361,30.041089057922363,30.556785821914673,30.556501150131226,30.58039903640747,30.36595392227173,30.329261779785156
42,ER_700_800_0.15_36,41,42,42,41,40,41,41,41,40,40,30.31830596923828,30.32648992538452,30.735118865966797,30.831109046936035,30.3081271648407,30.590599060058594,30.414642095565796,30.534173011779785,30.5257728099823,30.528507947921753
43,ER_700_800_0.15_44,40,42,41,41,41,40,40,41,41,41,30.939565181732178,30.454530000686646,30.915488958358765,30.91547393798828,30.32308292388916,30.477521896362305,30.70165705680847,30.62970519065857,30.684319019317627,30.637367963790894
44,ER_700_800_0.15_54,40,40,39,41,40,40,42,39,40,40,30.5627121925354,30.24959087371826,30.77161192893982,30.721522092819214,30.357640981674194,31.062480926513672,30.45335602760315,30.45957612991333,30.4372661113739,30.602599143981934
