,Dataset Name,"Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 450 with random sample rate of 0.2 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 2250 with random sample rate of 0.2 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 4500 with random sample rate of 0.2 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 6750 with random sample rate of 0.2 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 9000 with random sample rate of 0.2 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 11250 with random sample rate of 0.2 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 13500 with random sample rate of 0.2 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 15750 with random sample rate of 0.2 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 18000 with random sample rate of 0.2 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 20250 with random sample rate of 0.2 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 22500 with random sample rate of 0.2 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 450 with random sample rate of 0.2 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 2250 with random sample rate of 0.2 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 4500 with random sample rate of 0.2 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 6750 with random sample rate of 0.2 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 9000 with random sample rate of 0.2 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 11250 with random sample rate of 0.2 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 13500 with random sample rate of 0.2 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 15750 with random sample rate of 0.2 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 18000 with random sample rate of 0.2 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 20250 with random sample rate of 0.2 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 22500 with random sample rate of 0.2 Solution Time"
0,ER_700_800_0.05_15,98,96,94,97,98,98,97,100,97,97,99,30.040788888931274,30.033792972564697,30.018309116363525,30.050606966018677,30.041836977005005,30.035967111587524,30.059280157089233,30.098054885864258,30.045521020889282,30.022654056549072,30.022055864334106
1,ER_700_800_0.05_23,95,97,95,98,97,97,98,99,97,101,100,30.041016101837158,30.083120822906494,30.103952169418335,30.229630947113037,30.07670283317566,30.063822031021118,30.02370309829712,30.013460159301758,30.07256293296814,30.075987100601196,30.03235697746277
2,ER_700_800_0.05_2,96,97,100,99,98,98,97,100,98,98,97,30.14658808708191,30.181893825531006,30.231241941452026,30.131563901901245,30.105069875717163,30.06840705871582,30.19270610809326,30.198007106781006,30.341590881347656,30.197083950042725,30.673156023025513
3,ER_700_800_0.05_22,96,96,96,100,99,101,94,102,96,98,97,30.44880199432373,30.174767017364502,30.19573998451233,30.034314155578613,30.034478902816772,30.023340940475464,30.03637719154358,30.041074991226196,30.08210802078247,30.13211703300476,30.043423175811768
4,ER_700_800_0.05_3,96,97,95,97,95,97,95,93,98,96,96,30.08622097969055,30.201775074005127,30.02717113494873,30.03240990638733,30.0473849773407,30.030023097991943,30.024208068847656,30.026585817337036,30.028151035308838,30.195114850997925,30.020559787750244
5,ER_700_800_0.05_14,94,94,98,94,97,99,93,97,101,97,99,30.12216281890869,30.027108907699585,30.02969789505005,30.02171802520752,30.01712918281555,30.0253849029541,30.024517059326172,30.022965908050537,30.032103776931763,30.023431062698364,30.006834983825684
6,ER_700_800_0.05_1,96,96,97,95,96,91,94,90,95,89,96,30.012285947799683,30.022592067718506,30.017635107040405,30.059799909591675,30.042784929275513,30.032088041305542,30.091488122940063,30.065648078918457,30.08875799179077,30.095409870147705,30.040366888046265
7,ER_700_800_0.05_20,95,93,94,93,92,93,93,93,93,93,93,30.030560970306396,30.03656506538391,30.06257915496826,30.23035216331482,30.317108154296875,30.33025813102722,30.16453981399536,30.12150001525879,30.035611867904663,30.02965998649597,30.075037002563477
8,ER_700_800_0.05_30,97,98,98,99,102,100,101,100,99,102,101,30.034816026687622,30.029353857040405,30.023066997528076,30.008457899093628,30.026409149169922,30.027494192123413,30.015524864196777,30.01941704750061,30.014381885528564,30.02969193458557,30.02570605278015
9,ER_700_800_0.05_29,95,95,95,95,95,95,95,96,95,95,94,30.010576963424683,30.01849603652954,30.04398512840271,30.024887800216675,30.04200315475464,30.03033685684204,30.015471935272217,30.042954921722412,30.023197889328003,30.015523195266724,30.0290310382843
10,ER_700_800_0.05_8,97,97,98,94,96,97,96,95,96,97,96,30.0117449760437,30.01399803161621,30.02174711227417,30.02045202255249,30.01465606689453,30.021868228912354,30.01772379875183,30.01809000968933,30.015625953674316,30.013971090316772,30.039631128311157
11,ER_700_800_0.05_16,93,97,95,95,94,92,98,93,95,94,97,30.025064945220947,30.024998903274536,30.04205322265625,30.019212007522583,30.021185874938965,30.020289182662964,30.018066883087158,30.029412031173706,30.013625860214233,30.065482139587402,30.059009075164795
12,ER_700_800_0.05_28,96,96,94,95,96,97,93,95,95,94,95,30.033720016479492,30.015552043914795,30.011872053146362,30.011768102645874,30.013642072677612,30.012906074523926,30.04561185836792,30.01178503036499,30.026943922042847,30.013935089111328,30.015326976776123
13,ER_700_800_0.05_9,94,94,96,95,99,97,96,98,99,95,98,30.03591299057007,30.01607894897461,30.013921976089478,30.03539514541626,30.032809019088745,30.065184116363525,30.01218605041504,30.013074159622192,30.01531481742859,30.013126134872437,30.012362003326416
