,Dataset Name,"Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 2250 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 4500 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 6750 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 9000 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 11250 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 13500 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 15750 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 18000 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 20250 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 22500 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 24750 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 27000 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 29250 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 31500 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 33750 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 36000 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 38250 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 40500 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 42750 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 45000 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 47250 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 49500 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 51750 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 54000 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 56250 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 58500 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 60750 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 63000 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 65250 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 67500 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 2250 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 4500 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 6750 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 9000 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 11250 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 13500 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 15750 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 18000 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 20250 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 22500 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 24750 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 27000 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 29250 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 31500 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 33750 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 36000 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 38250 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 40500 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 42750 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 45000 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 47250 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 49500 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 51750 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 54000 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 56250 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 58500 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 60750 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 63000 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 65250 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 67500 Solution Time"
0,ER_700_800_0.15_47,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,30.00897192955017,30.270225048065186,30.05137610435486,30.04569387435913,30.211008071899414,30.777875900268555,30.689729928970337,30.280592918395996,30.14358687400818,30.01657199859619,30.267433166503906,30.67109203338623,30.438931941986084,30.446177005767822,30.006704092025757,30.208319187164307,30.003894090652466,30.401793956756592,30.41627812385559,30.00424599647522,30.505231857299805,30.010883808135986,30.197617053985596,30.640222787857056,30.63431692123413,30.011275053024292,30.0119788646698,30.010837078094482,30.004323959350586,30.005653858184814
1,ER_700_800_0.15_57,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,30.382699966430664,30.23563504219055,30.003445148468018,30.01406502723694,30.441226959228516,30.141875982284546,30.01412582397461,30.007676124572754,30.005892992019653,30.00556492805481,30.018061876296997,30.013256072998047,30.017364025115967,30.36574101448059,30.547286987304688,30.98349094390869,30.022105932235718,30.031397104263306,30.008740186691284,30.010159969329834,30.00857901573181,30.00266695022583,30.013032913208008,30.006813049316406,30.416026830673218,30.438245058059692,30.003090858459473,30.002418041229248,30.271723985671997,30.00863218307495
2,ER_700_800_0.15_25,40,39,39,39,39,39,39,39,39,39,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,30.384176015853882,30.379016160964966,30.25974416732788,30.0051109790802,30.66997480392456,30.357733964920044,30.01065182685852,30.016901969909668,30.273221015930176,30.369400024414062,30.121639013290405,30.002792835235596,30.052767038345337,30.496828079223633,30.223297834396362,30.092127084732056,30.47850489616394,30.26394486427307,30.10799789428711,30.011409997940063,30.016422033309937,30.020470142364502,30.01881504058838,30.01379895210266,30.266659021377563,30.012407064437866,30.025424003601074,30.008206844329834,30.007742166519165,30.00264286994934
3,ER_700_800_0.15_102,39,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,30.003534078598022,30.003504991531372,30.00751805305481,30.003566026687622,30.518800973892212,30.00542902946472,30.695622205734253,30.006072998046875,30.33752703666687,30.006160974502563,30.41815185546875,30.827554941177368,30.449063777923584,30.075436115264893,30.32493305206299,30.440640926361084,30.032670974731445,30.006330966949463,30.011707067489624,30.02915096282959,30.148473024368286,30.40188694000244,30.015445947647095,30.39235782623291,30.413576126098633,30.670047998428345,30.06929588317871,30.155082941055298,30.236109018325806,30.416000843048096
4,ER_700_800_0.15_35,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,39,30.00411605834961,30.00524401664734,30.00671100616455,30.00953197479248,30.00729489326477,30.036710023880005,30.483276844024658,30.23467993736267,30.008692026138306,30.008172035217285,30.51347589492798,30.003412008285522,30.18725085258484,30.199018001556396,30.308086156845093,30.127692937850952,30.35430097579956,30.21139883995056,30.207640171051025,30.44687581062317,30.359694004058838,30.35112500190735,30.394169092178345,30.641853094100952,30.04711413383484,30.17400312423706,30.03373694419861,30.036154985427856,30.06651496887207,30.273003101348877
5,ER_700_800_0.15_112,40,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,30.399453163146973,30.888479948043823,30.679935932159424,30.53662085533142,31.222525119781494,30.348766088485718,30.00827980041504,30.021148920059204,30.013890027999878,30.007694959640503,30.017180919647217,30.01634192466736,30.003643035888672,30.00360083580017,30.00283193588257,30.018258094787598,30.345288038253784,30.351065158843994,30.380397081375122,30.148660898208618,30.36363697052002,30.21811580657959,30.334292888641357,30.80631709098816,30.531031847000122,30.03163504600525,30.15829110145569,31.165337800979614,30.427287101745605,31.24383783340454
6,ER_700_800_0.15_78,37,37,37,38,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,30.00818705558777,30.02702283859253,30.465335845947266,30.020665884017944,30.512750148773193,30.011810064315796,30.013728857040405,30.01172709465027,30.003807067871094,30.449485063552856,30.013261795043945,30.012750148773193,30.02543592453003,30.84054207801819,30.020895957946777,30.02704405784607,30.02276611328125,30.063440084457397,30.01007390022278,30.04245901107788,30.003014087677002,30.092415809631348,30.790658950805664,30.01902413368225,30.00286102294922,30.010545015335083,30.01138710975647,30.005596160888672,30.024431943893433,30.004897117614746
7,ER_700_800_0.15_68,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,30.025756120681763,30.10377287864685,30.067610025405884,30.002912044525146,30.339694023132324,30.026585817337036,30.033334970474243,30.030546188354492,30.070539951324463,30.009233951568604,30.03721022605896,30.065721035003662,30.007304906845093,31.727564811706543,30.06862187385559,30.20850110054016,30.10439395904541,30.47883415222168,31.237958192825317,30.2088840007782,30.68112802505493,30.456992864608765,30.710498809814453,30.624587059020996,30.18811798095703,30.009939908981323,30.014657974243164,30.258657217025757,30.07382082939148,30.02499508857727
8,ER_700_800_0.15_85,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,30.002300024032593,30.004405975341797,30.003634929656982,30.002462148666382,30.006029844284058,30.017194986343384,30.42317295074463,30.012704133987427,30.595128059387207,30.212214946746826,30.00387191772461,30.527415990829468,30.137367963790894,30.630922079086304,30.0104238986969,30.518362998962402,30.34680485725403,30.003392934799194,32.02604699134827,30.223823070526123,30.014238119125366,30.47057318687439,30.045554876327515,30.581613063812256,30.222207069396973,30.24067997932434,30.033469915390015,30.866593837738037,30.62568688392639,30.089102029800415
9,ER_700_800_0.15_95,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,30.01120901107788,31.019160985946655,30.572494983673096,30.066263914108276,30.24697208404541,30.330640077590942,30.257715940475464,30.008268117904663,30.34222912788391,30.11381196975708,30.139324188232422,30.06209921836853,30.030871868133545,30.050686836242676,30.01560401916504,30.661405086517334,30.136933088302612,30.017143964767456,30.26219391822815,30.01774311065674,30.060708045959473,30.208340167999268,30.0594539642334,30.0936119556427,30.010730028152466,30.039315938949585,30.039483070373535,30.02032208442688,30.153381824493408,30.06030797958374
10,ER_700_800_0.15_124,37,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,30.004152059555054,30.799844980239868,30.451816082000732,30.34546208381653,30.340524911880493,30.553866863250732,30.07146382331848,30.55668306350708,30.0564181804657,30.272568941116333,30.14540410041809,30.179126977920532,30.00281000137329,30.324898958206177,30.312031030654907,31.55452799797058,30.045042037963867,30.42444610595703,30.00296902656555,30.564067840576172,30.138853073120117,30.322290897369385,30.13667607307434,30.002730131149292,30.303786993026733,30.055413007736206,30.15973997116089,30.543644189834595,31.334886074066162,30.929438829421997
11,ER_700_800_0.15_13,38,38,38,38,38,40,41,40,40,40,40,40,40,40,40,40,40,41,40,41,41,41,40,40,40,41,40,40,40,40,30.047443151474,30.00479483604431,30.852684020996094,30.33840298652649,31.01626420021057,30.023488998413086,30.28094506263733,30.30462098121643,30.43311381340027,30.60334610939026,30.021257162094116,30.768905878067017,30.12048602104187,31.489213943481445,30.122788906097412,30.109551906585693,30.13354182243347,30.594270944595337,30.004997968673706,30.277715921401978,30.33746099472046,30.423311948776245,30.008573055267334,30.122191905975342,30.471447944641113,30.26848793029785,30.054469108581543,30.021998167037964,30.00748300552368,30.183835983276367
