,Dataset Name,"Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.7 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.7 Solution Time"
0,ER_700_800_0.05_15,91,30.04015302658081
1,ER_700_800_0.05_23,91,30.032785892486572
2,ER_700_800_0.05_2,96,30.178523063659668
3,ER_700_800_0.05_22,95,30.046206951141357
4,ER_700_800_0.05_3,95,30.041269063949585
5,ER_700_800_0.05_14,91,30.03274893760681
6,ER_700_800_0.05_1,92,30.090195894241333
7,ER_700_800_0.05_20,92,30.06077790260315
8,ER_700_800_0.05_30,94,30.014389991760254
9,ER_700_800_0.05_29,93,30.050621032714844
10,ER_700_800_0.05_8,94,30.09538197517395
11,ER_700_800_0.05_16,95,30.081583976745605
12,ER_700_800_0.05_28,95,30.086101055145264
13,ER_700_800_0.05_9,90,30.100049018859863
14,ER_700_800_0.05_17,90,30.045100927352905
15,ER_700_800_0.05_0,100,30.036338806152344
16,ER_700_800_0.05_31,97,30.035985946655273
17,ER_700_800_0.05_21,95,30.17247200012207
18,ER_700_800_0.05_5,93,30.10234308242798
19,ER_700_800_0.05_24,91,30.052881956100464
20,ER_700_800_0.05_12,93,30.02406907081604
21,ER_700_800_0.05_13,93,30.03864812850952
22,ER_700_800_0.05_4,98,30.306648015975952
23,ER_700_800_0.05_25,95,30.040403842926025
24,ER_700_800_0.05_11,93,30.033339977264404
25,ER_700_800_0.05_18,94,30.0489718914032
26,ER_700_800_0.05_27,91,30.02029299736023
27,ER_700_800_0.05_6,93,30.068651914596558
28,ER_700_800_0.05_19,88,30.123548984527588
29,ER_700_800_0.05_26,91,30.060444116592407
30,ER_700_800_0.05_7,96,30.01806092262268
31,ER_700_800_0.05_10,92,30.040751934051514
32,ER_700_800_0.1_1,53,30.0177218914032
33,ER_700_800_0.1_12,52,30.021639108657837
34,ER_700_800_0.1_8,57,30.004497051239014
35,ER_700_800_0.1_24,55,30.087739944458008
36,ER_700_800_0.1_9,58,30.005786895751953
37,ER_700_800_0.1_25,56,30.124928951263428
38,ER_700_800_0.1_0,56,30.03753685951233
39,ER_700_800_0.1_13,55,30.17622709274292
40,ER_700_800_0.1_27,54,30.0677330493927
41,ER_700_800_0.1_18,54,30.04524803161621
42,ER_700_800_0.1_2,54,30.00556492805481
43,ER_700_800_0.1_11,58,30.16046905517578
44,ER_700_800_0.1_3,53,30.009357929229736
45,ER_700_800_0.1_10,51,30.028485774993896
