,Dataset Name,"pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 450 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 2250 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 4500 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 6750 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 9000 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 11250 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 13500 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 15750 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 18000 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 20250 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 22500 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 24750 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 27000 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 29250 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 31500 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 33750 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 36000 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 38250 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 40500 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 42750 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 45000 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 47250 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 49500 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 51750 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 54000 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 56250 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 58500 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 60750 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 63000 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 65250 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 67500 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 450 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 2250 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 4500 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 6750 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 9000 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 11250 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 13500 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 15750 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 18000 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 20250 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 22500 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 24750 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 27000 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 29250 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 31500 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 33750 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 36000 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 38250 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 40500 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 42750 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 45000 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 47250 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 49500 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 51750 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 54000 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 56250 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 58500 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 60750 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 63000 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 65250 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 67500 Solution Time"
0,ER_700_800_0.15_47,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,5.730528831481934,12.561244010925293,21.14405345916748,26.368821382522583,40.76811242103577,45.424521923065186,55.19081473350525,65.05605816841125,74.57278490066528,84.23752927780151,93.80437541007996,103.29515099525452,112.81470656394958,122.12297821044922,131.47049283981323,140.95687794685364,150.01028537750244,159.45228695869446,168.65545916557312,177.8581783771515,187.05501627922058,196.16461944580078,204.2075219154358,207.35403633117676,220.90528297424316,225.4263927936554,233.27130317687988,242.45998430252075,251.38407230377197,260.2336688041687,269.34606075286865
1,ER_700_800_0.15_57,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3.340031623840332,11.251450061798096,21.51585340499878,31.4206702709198,41.22167658805847,51.04065489768982,61.01152014732361,70.81178998947144,80.59847736358643,90.28752303123474,99.90500783920288,109.50922703742981,117.85098147392273,122.08717560768127,136.42638444900513,139.16892337799072,147.84180808067322,157.26940178871155,166.38366961479187,175.74892330169678,184.95960927009583,194.17046213150024,203.43004155158997,212.4710292816162,221.65228939056396,230.73095226287842,239.67472529411316,248.91390872001648,257.8503041267395,267.03410840034485,275.99367666244507
2,ER_700_800_0.15_25,37,38,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,3.367913246154785,11.64881706237793,21.67254066467285,26.36885118484497,38.38845777511597,46.00811982154846,50.61987638473511,60.47541785240173,70.26360034942627,80.12595915794373,89.99288558959961,99.89606261253357,109.74163031578064,119.41768169403076,129.0790114402771,138.8843207359314,148.33715391159058,158.03844094276428,167.66169595718384,177.2910656929016,186.87690830230713,196.53455114364624,206.11680388450623,210.25666427612305,221.72918844223022,229.6619873046875,234.97604775428772,244.41511130332947,253.62285447120667,263.1261217594147,272.52043056488037
3,ER_700_800_0.15_102,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3.542881965637207,11.847715616226196,21.886406898498535,32.23911428451538,42.24420189857483,52.47283864021301,62.57721495628357,72.60229349136353,82.20203304290771,92.54744029045105,102.4895749092102,112.71802401542664,120.40957999229431,125.62102723121643,139.98763155937195,144.76519918441772,154.88846230506897,164.88521361351013,174.78026223182678,184.8370988368988,194.81586861610413,204.61138534545898,214.45678114891052,224.33081245422363,234.12118244171143,243.95519518852234,253.74121260643005,263.57840037345886,273.5562415122986,283.37603998184204,293.0945665836334
4,ER_700_800_0.15_35,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,39,2.9751651287078857,10.276294946670532,14.690362215042114,29.810164213180542,32.76123237609863,42.81654334068298,53.14083790779114,63.168317556381226,73.009605884552,82.84658432006836,93.04979610443115,103.02290439605713,113.28499794006348,123.28103756904602,133.25387525558472,143.56911158561707,153.53118252754211,163.47060632705688,173.76994466781616,183.7531635761261,193.66354036331177,198.57813477516174,213.38940358161926,216.73768258094788,226.67074990272522,236.5830273628235,246.45136761665344,256.7357439994812,266.5446264743805,276.3820757865906,286.2424213886261
5,ER_700_800_0.15_112,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3.8925578594207764,11.992104291915894,22.24125385284424,32.14688467979431,42.06814527511597,52.20511174201965,62.132893085479736,71.9349148273468,81.63079071044922,90.42702317237854,94.37824964523315,108.96043562889099,111.89415216445923,120.5609986782074,130.08926820755005,139.38683891296387,148.6730170249939,158.05356907844543,167.16078972816467,176.43944764137268,185.56767535209656,194.7898187637329,203.9068009853363,213.13084387779236,222.11604571342468,231.03999137878418,240.22089338302612,249.20124006271362,258.0506145954132,267.2128710746765,274.57171058654785
6,ER_700_800_0.15_78,36,37,37,37,38,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3.140857219696045,15.341948986053467,20.9525625705719,28.88751459121704,38.7240936756134,48.583484172821045,58.39699149131775,67.79788374900818,77.4928948879242,87.06548523902893,96.4932336807251,105.7586019039154,114.9784734249115,124.32932472229004,133.41260433197021,142.67542028427124,151.67837262153625,160.94444513320923,169.91453218460083,178.79045844078064,184.08413577079773,192.60516119003296,203.30132603645325,206.65237545967102,215.4722445011139,224.25754356384277,233.15848088264465,242.0352110862732,250.77525997161865,259.58036160469055,268.3388955593109
7,ER_700_800_0.15_68,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,3.1712329387664795,11.442298650741577,21.464192867279053,31.67070174217224,41.70682120323181,51.656248331069946,61.53497314453125,71.71112489700317,81.5949444770813,91.36701822280884,98.71140336990356,105.44309520721436,118.24584126472473,120.01472306251526,129.446533203125,139.0093183517456,148.63916563987732,157.90452980995178,167.3499355316162,176.93309259414673,186.39821600914001,195.60534858703613,205.0558795928955,214.47962260246277,224.0566749572754,233.1309461593628,242.58013319969177,251.57607293128967,260.96077156066895,270.14688634872437,279.3825001716614
8,ER_700_800_0.15_85,38,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,2.4524471759796143,4.362475872039795,19.682196378707886,23.6625874042511,33.347005128860474,43.613900899887085,53.5468065738678,63.46258544921875,73.66539525985718,83.58363437652588,93.46427083015442,103.3725528717041,113.22906303405762,123.10932517051697,132.86642932891846,142.28855156898499,152.1421959400177,161.89995503425598,171.6085970401764,181.34768152236938,186.25404572486877,198.52079129219055,205.8258159160614,213.57847118377686,223.28829884529114,232.94975686073303,242.57619714736938,252.1589560508728,261.847380399704,271.4048054218292,280.73428082466125
9,ER_700_800_0.15_95,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,3.2168796062469482,11.381431341171265,21.601771354675293,31.802212715148926,42.00839447975159,52.152485370635986,62.25108098983765,72.42124581336975,82.38608241081238,87.9662115573883,98.29686069488525,107.5785653591156,113.74976587295532,123.70416307449341,133.99818396568298,143.9284520149231,153.50136470794678,163.36454486846924,173.53864645957947,183.37835478782654,193.1799955368042,202.9424066543579,212.64933705329895,222.3811011314392,232.18728709220886,242.23403906822205,251.95124340057373,261.6721000671387,269.94484877586365,275.889297246933,289.4099771976471
10,ER_700_800_0.15_124,37,37,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,1.5236577987670898,8.138373851776123,18.120900630950928,28.354677200317383,38.315451860427856,48.31190061569214,58.435059785842896,68.3829231262207,78.28838348388672,88.44651222229004,98.32275724411011,108.14105987548828,117.85672283172607,127.6661958694458,137.36146473884583,147.08507561683655,156.42286252975464,163.76664996147156,170.38117599487305,183.27327346801758,186.58239150047302,196.23398876190186,205.85885071754456,215.12628984451294,224.73714971542358,234.26684761047363,243.7543079853058,253.31325101852417,262.50738978385925,272.0417740345001,281.55943727493286
11,ER_700_800_0.15_13,35,38,38,38,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3.1690285205841064,11.140909194946289,21.485679149627686,31.505568742752075,41.85024070739746,51.85952067375183,61.989381551742554,66.48594379425049,77.87721395492554,86.12155890464783,94.14394617080688,104.44151496887207,114.44721388816833,124.46289825439453,134.77299070358276,144.7708296775818,155.07024884223938,164.66975283622742,174.65452766418457,184.64615440368652,194.9220380783081,204.86306476593018,215.16408157348633,225.05987977981567,235.0050232410431,245.19562458992004,249.3095724582672,260.3500063419342,268.8531320095062,275.72568702697754,285.6225366592407
12,ER_700_800_0.15_4,37,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3.2392122745513916,11.484775304794312,21.424965381622314,31.57604455947876,41.551496267318726,51.467822790145874,61.493449449539185,71.52957606315613,81.39173007011414,91.2069845199585,100.95261287689209,110.71582674980164,120.59349226951599,130.42443561553955,140.26485085487366,146.0707232952118,155.5234603881836,165.60118627548218,168.66820287704468,178.30356121063232,187.88705039024353,197.53847980499268,207.24222993850708,216.62820863723755,226.1858720779419,235.76216292381287,245.33425998687744,254.84716296195984,264.4399309158325,273.7717294692993,283.09836173057556
13,ER_700_800_0.15_61,37,38,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,3.2145049571990967,11.55344843864441,22.0810067653656,32.07990002632141,42.47375130653381,46.62108254432678,58.94174289703369,66.19991731643677,74.26307535171509,84.49110269546509,94.32006502151489,104.06947708129883,113.7713930606842,123.52870988845825,133.29435777664185,142.97509694099426,152.62340331077576,162.3818483352661,172.01261401176453,181.5941503047943,190.62238264083862,200.21094965934753,209.7920572757721,219.27904772758484,228.53696203231812,232.29677414894104,246.58723044395447,249.8687481880188,258.578515291214,268.0153625011444,277.12238478660583
