,Dataset Name,"Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Time"
0,ER_700_800_0.15_47,41,40,41,40,38,40,41,40,40,40,30.088542938232422,30.066931009292603,30.092485189437866,30.12390398979187,30.07915496826172,30.154305934906006,30.109039068222046,30.16857385635376,30.10823893547058,30.11152720451355
1,ER_700_800_0.15_57,41,39,40,38,40,39,40,40,38,38,30.20786714553833,30.120945930480957,30.197355031967163,30.04256010055542,30.131412029266357,30.126639127731323,30.141179084777832,30.11889100074768,30.176790952682495,30.13965606689453
2,ER_700_800_0.15_25,41,41,41,40,39,40,41,38,39,43,30.17089581489563,30.103819131851196,30.12339997291565,30.157673120498657,30.11961793899536,30.154839038848877,30.087247133255005,30.096889972686768,30.13216805458069,30.259065866470337
3,ER_700_800_0.15_102,40,39,41,40,41,41,38,39,40,40,30.50064492225647,30.137841939926147,30.260658025741577,30.29383683204651,30.284395933151245,30.19437313079834,30.104971170425415,30.168921947479248,30.110407829284668,30.258404970169067
4,ER_700_800_0.15_35,40,41,42,39,40,39,39,39,36,40,30.31020498275757,30.131003856658936,30.105042934417725,30.07594585418701,30.41451597213745,30.151772022247314,30.324563026428223,30.18942093849182,30.05807399749756,30.23391890525818
5,ER_700_800_0.15_112,39,38,38,40,37,39,38,39,40,40,30.332650899887085,30.167227029800415,30.204948902130127,30.158194065093994,30.26712393760681,30.091564893722534,30.845130920410156,30.13909411430359,30.26457905769348,30.58776879310608
6,ER_700_800_0.15_78,38,38,40,39,38,39,40,39,39,41,30.682850122451782,30.25671887397766,30.293225049972534,30.36857509613037,30.348602056503296,30.73757004737854,30.495811939239502,30.40042495727539,30.44451904296875,30.594473123550415
7,ER_700_800_0.15_68,39,41,41,39,40,39,41,39,40,41,30.55542492866516,30.536471128463745,30.520174026489258,30.508418798446655,30.429412126541138,30.28631591796875,30.413388967514038,30.26521611213684,30.242805004119873,30.14199709892273
8,ER_700_800_0.15_85,39,40,38,40,41,40,40,41,39,41,30.06771206855774,30.16847014427185,30.207000970840454,30.157713174819946,30.278481006622314,30.15624189376831,30.21876311302185,30.168377161026,30.188234090805054,30.201045989990234
9,ER_700_800_0.15_95,42,40,41,42,38,41,39,40,39,34,30.078830003738403,30.147841930389404,30.13103699684143,30.086896896362305,30.138908863067627,30.142879009246826,30.15126609802246,30.090155124664307,30.14810585975647,30.092065811157227
10,ER_700_800_0.15_124,40,41,42,39,39,42,42,42,39,40,30.207797050476074,30.206677198410034,30.096687078475952,30.26731300354004,30.183089017868042,30.142086029052734,30.123679876327515,30.15168809890747,30.156510829925537,30.251507997512817
11,ER_700_800_0.15_13,39,41,39,40,40,39,36,40,39,39,30.14940118789673,30.18932795524597,30.285372018814087,30.127667903900146,30.15564799308777,30.159813165664673,30.178904056549072,30.16930603981018,30.310213804244995,30.12076711654663
12,ER_700_800_0.15_4,40,42,40,40,39,39,39,39,41,39,30.142575979232788,30.167348861694336,30.19996190071106,30.20985698699951,30.1787269115448,30.164975881576538,30.20295214653015,30.147533178329468,30.13515305519104,30.09548592567444
13,ER_700_800_0.15_61,39,41,40,40,41,40,40,40,41,42,30.136895179748535,30.24378204345703,30.207653999328613,30.231237173080444,30.21800398826599,30.166215896606445,30.147375106811523,30.133227109909058,30.094664096832275,30.086233854293823
14,ER_700_800_0.15_71,37,39,35,40,40,40,39,38,41,39,30.117100954055786,30.072700023651123,30.05097484588623,30.07325315475464,30.079328775405884,30.064924955368042,30.176434993743896,30.064987182617188,30.117813110351562,30.062641859054565
15,ER_700_800_0.15_94,39,40,41,40,40,40,41,40,40,38,30.07611083984375,30.057885885238647,30.05636692047119,30.09300994873047,30.072131156921387,30.115299940109253,30.101288080215454,30.04941701889038,30.086244106292725,30.146881103515625
16,ER_700_800_0.15_84,38,39,40,40,41,38,40,38,41,38,30.110833883285522,30.07181406021118,30.285090923309326,30.104400873184204,30.18964910507202,30.30194091796875,30.211883068084717,30.127357006072998,30.15805196762085,30.09898591041565
17,ER_700_800_0.15_12,40,40,38,40,35,40,36,38,38,38,30.06683087348938,30.071359157562256,30.211754083633423,30.299978971481323,30.20020890235901,30.178468942642212,30.302211046218872,30.285372018814087,30.32609486579895,30.15478801727295
18,ER_700_800_0.15_125,41,37,38,38,39,39,39,40,41,38,30.245905876159668,30.297729015350342,30.220352172851562,30.12593102455139,30.19374704360962,30.205858945846558,30.253350019454956,30.141825914382935,30.561828136444092,30.410397052764893
19,ER_700_800_0.15_70,40,39,41,41,38,41,37,40,39,41,30.626214027404785,30.240127086639404,30.228482007980347,30.300710201263428,30.279381036758423,30.510287046432495,30.407490015029907,30.624696969985962,30.35845184326172,30.241717100143433
20,ER_700_800_0.15_60,38,38,39,39,37,38,38,39,38,38,30.421602964401245,30.31746006011963,30.226008892059326,30.49622893333435,30.14692997932434,30.403779983520508,30.220672130584717,30.289724111557007,30.631585121154785,30.211238861083984
21,ER_700_800_0.15_5,38,36,38,39,36,39,37,38,39,39,30.288655996322632,30.168416023254395,30.782525062561035,30.34583616256714,30.15917205810547,30.253891944885254,30.60528588294983,30.324026107788086,30.359665870666504,30.356616020202637
22,ER_700_800_0.15_56,39,37,39,39,37,39,36,39,37,38,30.57693099975586,30.240665912628174,30.40854287147522,30.611857891082764,31.101096153259277,30.221861124038696,30.269598960876465,30.334584951400757,30.218676805496216,30.24439311027527
23,ER_700_800_0.15_46,36,37,40,37,40,37,40,38,39,40,30.278295040130615,30.548163175582886,30.32851815223694,30.38309097290039,30.154767990112305,30.232775926589966,30.39707899093628,30.28242301940918,30.20091199874878,30.244506120681763
24,ER_700_800_0.15_113,36,39,37,36,39,38,39,36,38,36,30.627506017684937,30.30386996269226,30.397582054138184,30.489521026611328,30.296494960784912,30.416949033737183,30.414522171020508,30.429481983184814,30.35851502418518,30.337579011917114
25,ER_700_800_0.15_34,37,41,39,39,40,36,35,34,36,39,30.04737615585327,30.19260311126709,30.045061111450195,30.422729015350342,30.9620840549469,30.17044186592102,30.358232021331787,30.426528930664062,30.253947973251343,30.83510398864746
26,ER_700_800_0.15_103,40,35,35,35,35,36,35,41,35,36,30.01038408279419,30.015017986297607,30.067996978759766,30.612333059310913,30.451112031936646,30.047412872314453,30.005181074142456,30.708842992782593,30.006841897964478,30.49162197113037
