,Dataset Name,"pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 29250 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 29250 Solution Time"
105,ER_700_800_0.15_0,39,30.046475887298584
106,ER_700_800_0.15_38,39,30.192546844482422
107,ER_700_800_0.15_28,39,30.00018835067749
108,ER_700_800_0.15_81,39,30.000622034072876
109,ER_700_800_0.15_91,39,30.1367506980896
110,ER_700_800_0.15_16,39,30.000642776489258
111,ER_700_800_0.15_121,38,30.03127121925354
112,ER_700_800_0.15_1,40,30.130386114120483
113,ER_700_800_0.15_74,38,30.27863574028015
114,ER_700_800_0.15_64,41,30.000585794448853
115,ER_700_800_0.15_90,39,30.0002019405365
116,ER_700_800_0.15_80,39,30.00055241584778
117,ER_700_800_0.15_29,39,30.000117778778076
118,ER_700_800_0.15_39,39,30.434977054595947
119,ER_700_800_0.15_8,39,30.095248222351074
120,ER_700_800_0.15_52,38,30.0001859664917
121,ER_700_800_0.15_42,39,30.012742042541504
122,ER_700_800_0.15_89,39,30.19536590576172
123,ER_700_800_0.15_99,40,30.286340713500977
124,ER_700_800_0.15_30,40,30.000638961791992
125,ER_700_800_0.15_117,39,30.178133964538574
126,ER_700_800_0.15_20,39,30.215749263763428
127,ER_700_800_0.15_107,38,30.000276803970337
